Symbol,Name,Sector
FORTIS,Fortis Healthcare Limited,nil
KAJARIACER,Kajaria Ceramics Limited,nil
MINDAIND,Minda Industries Limited,nil
PERSISTENT,Persistent Systems Limited,nil
GMRINFRA,GMR Infrastructure Limited,nil
AMARAJABAT,Amara Raja Batteries Limited,nil
SUMICHEM,Sumitomo Chemical India Limited,nil
JSWENERGY,JSW Energy Limited,nil
VINATIORGA,Vinati Organics Limited,nil
APOLLOTYRE,Apollo Tyres Limited,nil
RAJESHEXPO,Rajesh Exports Limited,nil
AFFLE,Affle (India) Limited,nil
MAHABANK,Bank of Maharashtra,nil
NAVINFLUOR,Navin Fluorine International Limited,nil
PHOENIXLTD,The Phoenix Mills Limited,nil
CRISIL,CRISIL Limited,nil
OIL,Oil India Limited,nil
BLUEDART,Blue Dart Express Limited,nil
INDHOTEL,The Indian Hotels Company Limited,nil
GLENMARK,Glenmark Pharmaceuticals Limited,nil
INDIANB,Indian Bank,nil
SUVENPHAR,Suven Pharmaceuticals Limited,nil
MANAPPURAM,Manappuram Finance Limited,nil
ZYDUSWELL,Zydus Wellness Limited,nil
VAIBHAVGBL,Vaibhav Global Limited,nil
WABCOINDIA,WABCO India Limited,nil
RBLBANK,RBL Bank Limited,nil
CASTROLIND,Castrol India Limited,nil
ISEC,ICICI Securities Limited,nil
PRESTIGE,Prestige Estates Projects Limited,nil
ALKYLAMINE,Alkyl Amines Chemicals Limited,nil
SOLARINDS,Solar Industries India Limited,nil
MGL,Mahanagar Gas Limited,nil
CUB,City Union Bank Limited,nil
METROPOLIS,Metropolis Healthcare Limited,nil
INDIGOPNTS,Indigo Paints Limited,nil
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,nil
BAJAJELEC,Bajaj Electricals Limited,nil
AMBER,Amber Enterprises India Limited,nil
SKFINDIA,SKF India Limited,nil
TANLA,Tanla Platforms Limited,nil
HINDCOPPER,Hindustan Copper Limited,nil
UCOBANK,UCO Bank,nil
IIFLWAM,Iifl Wealth Management Limited,nil
JUBLPHARMA,Jubilant Pharmova Limited,nil
VGUARD,V-Guard Industries Limited,nil
ITI,ITI Limited,nil
IIFL,IIFL Finance Limited,nil
KEC,KEC International Limited,nil
GRINDWELL,Grindwell Norton Limited,nil
AEGISCHEM,Aegis Logistics Limited,nil
AKZOINDIA,Akzo Nobel India Limited,nil
CREDITACC,CREDITACCESS GRAMEEN LIMITED,nil
QUESS,Quess Corp Limited,nil
PGHL,Procter & Gamble Health Limited,nil
SJVN,SJVN Limited,nil
NATIONALUM,National Aluminium Company Limited,nil
GODREJAGRO,Godrej Agrovet Limited,nil
TTKPRESTIG,TTK Prestige Limited,nil
ALOKINDS,Alok Industries Limited,nil
GRAPHITE,Graphite India Limited,nil
IEX,Indian Energy Exchange Limited,nil
INTELLECT,Intellect Design Arena Limited,nil
ORCHPHARMA,Orchid Pharma Limited,nil
TIMKEN,Timken India Limited,nil
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,nil
CARBORUNIV,Carborundum Universal Limited,nil
SFL,Sheela Foam Limited,nil
CENTRALBK,Central Bank of India,nil
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,nil
